Fecha;Risk_Free;;;
26/08/2022;11.3421;;;
25/08/2022;11.3661;;;
24/08/2022;11.5474;;;
23/08/2022;11.4519;;;
22/08/2022;11.4982;;;
19/08/2022;11.3353;;;
18/08/2022;11.1875;;;
17/08/2022;11.1527;;;
16/08/2022;11.1475;;;
15/08/2022;11.1528;;;
12/08/2022;11.1523;;;
11/08/2022;11.1234;;;
10/08/2022;11.1837;;;
9/08/2022;11.5653;;;
8/08/2022;11.5458;;;
5/08/2022;11.4808;;;
4/08/2022;11.0044;;;
3/08/2022;11.186;;;
2/08/2022;11.243;;;
1/08/2022;11.2139;;;
29/07/2022;11.7161;;;
28/07/2022;12.1373;;;
27/07/2022;12.1829;;;
26/07/2022;12.1915;;;
25/07/2022;12.2727;;;
22/07/2022;12.1869;;;
21/07/2022;12.4229;;;
20/07/2022;12.3917;;;
19/07/2022;12.3919;;;
18/07/2022;12.2578;;;
15/07/2022;12.6706;;;
14/07/2022;12.837;;;
13/07/2022;11.9768;;;
12/07/2022;11.9237;;;
11/07/2022;11.7389;;;
8/07/2022;11.0826;;;
7/07/2022;11.0415;;;
6/07/2022;10.7946;;;
5/07/2022;10.7203;;;
4/07/2022;10.9863;;;
1/07/2022;10.9864;;;
30/06/2022;11.0681;;;
29/06/2022;10.9949;;;
28/06/2022;11.0514;;;
27/06/2022;11.1961;;;
24/06/2022;11.1941;;;
23/06/2022;11.3612;;;
22/06/2022;11.3563;;;
21/06/2022;11.3526;;;
20/06/2022;10.9898;;;
17/06/2022;10.9883;;;
16/06/2022;10.9306;;;
15/06/2022;11.0785;;;
14/06/2022;10.9963;;;
13/06/2022;10.9789;;;
10/06/2022;10.8918;;;
9/06/2022;11.0771;;;
8/06/2022;10.8564;;;
7/06/2022;10.6657;;;
6/06/2022;10.3895;;;
3/06/2022;10.162;;;
2/06/2022;10.1437;;;
1/06/2022;10.2696;;;
31/05/2022;10.241;;;
30/05/2022;10.5689;;;
27/05/2022;10.5672;;;
26/05/2022;10.6069;;;
25/05/2022;10.7398;;;
24/05/2022;10.9445;;;
23/05/2022;10.9418;;;
20/05/2022;11.0285;;;
19/05/2022;11.1162;;;
18/05/2022;11.4326;;;
17/05/2022;11.4258;;;
16/05/2022;10.9843;;;
13/05/2022;10.7538;;;
12/05/2022;10.7572;;;
11/05/2022;10.6322;;;
10/05/2022;10.574;;;
9/05/2022;10.346;;;
6/05/2022;10.3649;;;
5/05/2022;10.2158;;;
4/05/2022;9.993;;;
3/05/2022;10.0786;;;
2/05/2022;10.2512;;;
29/04/2022;9.9417;;;
28/04/2022;9.8209;;;
27/04/2022;9.6385;;;
26/04/2022;9.6268;;;
25/04/2022;9.5567;;;
22/04/2022;9.5643;;;
21/04/2022;9.4137;;;
20/04/2022;9.4315;;;
19/04/2022;9.4292;;;
18/04/2022;9.2868;;;
15/04/2022;9.227;;;
14/04/2022;9.2266;;;
13/04/2022;9.226;;;
12/04/2022;9.1768;;;
11/04/2022;9.3214;;;
8/04/2022;9.3109;;;
7/04/2022;8.9546;;;
6/04/2022;8.9733;;;
5/04/2022;9.058;;;
4/04/2022;9.1515;;;
1/04/2022;9.3165;;;
